Object	DS_Pr[True]	DS_Pr[False]	DS_Category	MV_Pr[True]	MV_Pr[False]	MV_Category	DS_Exp_Cost	MV_Exp_Cost	NoVote_Exp_Cost	DS_Opt_Cost	MV_Opt_Cost	NoVote_Opt_Cost	Correct_Category	Eval_Cost_MV_ML	Eval_Cost_DS_ML	Eval_Cost_MV_Soft	Eval_Cost_DS_Soft
0	1.0	0.0	True	0.52	0.48	True	0.0	0.499	0.496	0.0	0.48	0.455	---	---	---	---	---
1	0.0	1.0	False	0.462	0.538	False	0.0	0.497	0.496	0.0	0.462	0.455	---	---	---	---	---
10	0.0	1.0	False	0.5	0.5	False	0.0	0.5	0.496	0.0	0.5	0.455	---	---	---	---	---
11	1.0	0.0	True	0.556	0.444	True	0.0	0.494	0.496	0.0	0.444	0.455	---	---	---	---	---
12	0.0	1.0	False	0.64	0.36	True	0.0	0.461	0.496	0.0	0.36	0.455	---	---	---	---	---
13	0.0	1.0	False	0.6	0.4	True	0.0	0.48	0.496	0.0	0.4	0.455	---	---	---	---	---
14	0.821	0.179	True	0.692	0.308	True	0.294	0.426	0.496	0.179	0.308	0.455	---	---	---	---	---
15	1.0	0.0	True	0.438	0.563	False	0.0	0.492	0.496	0.0	0.438	0.455	---	---	---	---	---
16	1.0	0.0	True	0.6	0.4	True	0.0	0.48	0.496	0.0	0.4	0.455	---	---	---	---	---
17	0.002	0.998	False	0.643	0.357	True	0.004	0.459	0.496	0.002	0.357	0.455	---	---	---	---	---
18	1.0	0.0	True	0.471	0.529	False	0.0	0.498	0.496	0.0	0.471	0.455	---	---	---	---	---
19	1.0	0.0	True	0.538	0.462	True	0.0	0.497	0.496	0.0	0.462	0.455	---	---	---	---	---
2	0.0	1.0	False	0.5	0.5	False	0.0	0.5	0.496	0.0	0.5	0.455	---	---	---	---	---
20	1.0	0.0	True	0.471	0.529	False	0.0	0.498	0.496	0.0	0.471	0.455	---	---	---	---	---
21	1.0	0.0	True	0.6	0.4	True	0.0	0.48	0.496	0.0	0.4	0.455	---	---	---	---	---
22	1.0	0.0	True	0.467	0.533	False	0.001	0.498	0.496	0.0	0.467	0.455	---	---	---	---	---
23	0.0	1.0	False	0.44	0.56	False	0.0	0.493	0.496	0.0	0.44	0.455	---	---	---	---	---
24	1.0	0.0	True	0.538	0.462	True	0.0	0.497	0.496	0.0	0.462	0.455	---	---	---	---	---
25	1.0	0.0	True	0.375	0.625	False	0.0	0.469	0.496	0.0	0.375	0.455	---	---	---	---	---
26	0.0	1.0	False	0.6	0.4	True	0.0	0.48	0.496	0.0	0.4	0.455	---	---	---	---	---
27	0.0	1.0	False	0.5	0.5	False	0.0	0.5	0.496	0.0	0.5	0.455	---	---	---	---	---
28	0.0	1.0	False	0.571	0.429	True	0.0	0.49	0.496	0.0	0.429	0.455	---	---	---	---	---
29	0.0	1.0	False	0.44	0.56	False	0.0	0.493	0.496	0.0	0.44	0.455	---	---	---	---	---
3	1.0	0.0	True	0.5	0.5	False	0.0	0.5	0.496	0.0	0.5	0.455	---	---	---	---	---
30	1.0	0.0	True	0.6	0.4	True	0.0	0.48	0.496	0.0	0.4	0.455	---	---	---	---	---
31	0.0	1.0	False	0.706	0.294	True	0.0	0.415	0.496	0.0	0.294	0.455	---	---	---	---	---
32	0.965	0.035	True	0.667	0.333	True	0.067	0.444	0.496	0.035	0.333	0.455	---	---	---	---	---
33	0.0	1.0	False	0.357	0.643	False	0.0	0.459	0.496	0.0	0.357	0.455	---	---	---	---	---
34	1.0	0.0	True	0.583	0.417	True	0.0	0.486	0.496	0.0	0.417	0.455	---	---	---	---	---
35	1.0	0.0	True	0.583	0.417	True	0.0	0.486	0.496	0.0	0.417	0.455	---	---	---	---	---
36	1.0	0.0	True	0.533	0.467	True	0.0	0.498	0.496	0.0	0.467	0.455	---	---	---	---	---
37	1.0	0.0	True	0.462	0.538	False	0.0	0.497	0.496	0.0	0.462	0.455	---	---	---	---	---
38	1.0	0.0	True	0.333	0.667	False	0.0	0.444	0.496	0.0	0.333	0.455	---	---	---	---	---
39	1.0	0.0	True	0.4	0.6	False	0.0	0.48	0.496	0.0	0.4	0.455	---	---	---	---	---
4	0.993	0.007	True	0.714	0.286	True	0.013	0.408	0.496	0.007	0.286	0.455	---	---	---	---	---
5	0.0	1.0	False	0.571	0.429	True	0.0	0.49	0.496	0.0	0.429	0.455	---	---	---	---	---
6	0.0	1.0	False	0.429	0.571	False	0.0	0.49	0.496	0.0	0.429	0.455	---	---	---	---	---
7	0.0	1.0	False	0.5	0.5	True	0.001	0.5	0.496	0.0	0.5	0.455	---	---	---	---	---
8	0.0	1.0	False	0.611	0.389	True	0.0	0.475	0.496	0.0	0.389	0.455	---	---	---	---	---
9	0.0	1.0	False	0.692	0.308	True	0.0	0.426	0.496	0.0	0.308	0.455	---	---	---	---	---
