Worker	Est. Error Rate	Eval. Error Rate	Est. Quality (Expected)	Est. Quality (Optimized)	Eval. Quality (Expected)	Eval. Quality (Optimized)	Number of Annotations	Gold Tests
0	14.81%	---	51%	70%	---	---	12	0
1	34.03%	---	10%	31%	---	---	17	0
10	34.05%	---	10%	31%	---	---	16	0
11	32.55%	---	18%	34%	---	---	10	0
12	20.87%	---	34%	58%	---	---	19	0
13	32.63%	---	12%	34%	---	---	13	0
14	20.09%	---	31%	59%	---	---	12	0
15	34.56%	---	9%	30%	---	---	11	0
16	0.0%	---	100%	100%	---	---	9	0
17	43.55%	---	2%	12%	---	---	9	0
18	35.9%	---	9%	27%	---	---	14	0
19	46.78%	---	0%	5%	---	---	9	0
2	28.37%	---	25%	43%	---	---	12	0
20	45.34%	---	1%	8%	---	---	11	0
21	74.59%	---	24%	49%	---	---	8	0
22	91.72%	---	67%	83%	---	---	10	0
23	63.19%	---	8%	25%	---	---	13	0
24	85.52%	---	53%	71%	---	---	13	0
25	95.8%	---	83%	92%	---	---	16	0
26	77.47%	---	29%	54%	---	---	13	0
27	89.31%	---	65%	78%	---	---	13	0
28	63.04%	---	7%	25%	---	---	16	0
29	63.93%	---	9%	27%	---	---	15	0
3	8.88%	---	71%	82%	---	---	13	0
30	65.89%	---	10%	31%	---	---	11	0
31	65.26%	---	16%	30%	---	---	12	0
32	83.03%	---	44%	66%	---	---	12	0
33	100.0%	---	100%	100%	---	---	9	0
34	78.65%	---	33%	57%	---	---	10	0
35	78.25%	---	38%	56%	---	---	13	0
36	50.6%	---	0%	0%	---	---	7	0
37	28.98%	---	18%	41%	---	---	8	0
38	58.43%	---	3%	16%	---	---	17	0
39	67.51%	---	13%	34%	---	---	10	0
4	14.25%	---	51%	71%	---	---	18	0
40	59.09%	---	4%	17%	---	---	12	0
41	53.84%	---	1%	7%	---	---	14	0
42	63.41%	---	9%	26%	---	---	12	0
43	90.08%	---	67%	80%	---	---	10	0
44	59.29%	---	4%	18%	---	---	14	0
45	57.15%	---	2%	13%	---	---	10	0
46	53.5%	---	1%	6%	---	---	14	0
47	56.07%	---	2%	11%	---	---	12	0
48	49.89%	---	0%	0%	---	---	10	0
49	86.15%	---	53%	72%	---	---	19	0
5	15.18%	---	48%	69%	---	---	14	0
6	0.0%	---	100%	100%	---	---	7	0
7	28.28%	---	26%	43%	---	---	8	0
8	23.54%	---	28%	52%	---	---	11	0
9	31.01%	---	15%	37%	---	---	16	0
