Object	DS_Pr[True]	DS_Pr[False]	DS_Category	MV_Pr[True]	MV_Pr[False]	MV_Category	DS_Exp_Cost	MV_Exp_Cost	NoVote_Exp_Cost	DS_Opt_Cost	MV_Opt_Cost	NoVote_Opt_Cost	Correct_Category	Eval_Cost_MV_ML	Eval_Cost_DS_ML	Eval_Cost_MV_Soft	Eval_Cost_DS_Soft
0	1.0	0.0	True	0.54	0.46	True	0.0	0.497	0.5	0.0	0.46	0.494	---	---	---	---	---
1	0.0	1.0	False	0.545	0.455	True	0.0	0.496	0.5	0.0	0.455	0.494	---	---	---	---	---
10	0.0	1.0	False	0.5	0.5	False	0.0	0.5	0.5	0.0	0.5	0.494	---	---	---	---	---
11	0.997	0.003	True	0.5	0.5	True	0.007	0.5	0.5	0.003	0.5	0.494	---	---	---	---	---
12	0.0	1.0	False	0.364	0.636	False	0.0	0.463	0.5	0.0	0.364	0.494	---	---	---	---	---
13	0.806	0.194	True	0.4	0.6	False	0.313	0.48	0.5	0.194	0.4	0.494	---	---	---	---	---
14	1.0	0.0	True	0.333	0.667	False	0.0	0.444	0.5	0.0	0.333	0.494	---	---	---	---	---
15	1.0	0.0	True	0.4	0.6	False	0.0	0.48	0.5	0.0	0.4	0.494	---	---	---	---	---
16	1.0	0.0	True	0.54	0.46	True	0.0	0.497	0.5	0.0	0.46	0.494	---	---	---	---	---
17	0.0	1.0	False	0.462	0.538	False	0.0	0.497	0.5	0.0	0.462	0.494	---	---	---	---	---
18	0.982	0.018	True	0.143	0.857	False	0.036	0.245	0.5	0.018	0.143	0.494	---	---	---	---	---
19	0.994	0.006	True	0.778	0.222	True	0.013	0.346	0.5	0.006	0.222	0.494	---	---	---	---	---
2	0.0	1.0	False	0.6	0.4	True	0.0	0.48	0.5	0.0	0.4	0.494	---	---	---	---	---
20	0.192	0.808	False	0.727	0.273	True	0.311	0.397	0.5	0.192	0.273	0.494	---	---	---	---	---
21	1.0	0.0	True	0.333	0.667	False	0.0	0.444	0.5	0.0	0.333	0.494	---	---	---	---	---
22	1.0	0.0	True	0.444	0.556	False	0.0	0.494	0.5	0.0	0.444	0.494	---	---	---	---	---
23	0.0	1.0	False	0.545	0.455	True	0.0	0.496	0.5	0.0	0.455	0.494	---	---	---	---	---
24	0.988	0.012	True	0.333	0.667	False	0.023	0.444	0.5	0.012	0.333	0.494	---	---	---	---	---
25	0.017	0.983	False	0.444	0.556	False	0.034	0.494	0.5	0.017	0.444	0.494	---	---	---	---	---
26	0.0	1.0	False	0.42	0.58	False	0.0	0.487	0.5	0.0	0.42	0.494	---	---	---	---	---
27	0.0	1.0	False	0.571	0.429	True	0.0	0.49	0.5	0.0	0.429	0.494	---	---	---	---	---
28	0.001	0.999	False	0.273	0.727	False	0.003	0.397	0.5	0.001	0.273	0.494	---	---	---	---	---
29	0.662	0.338	True	0.6	0.4	True	0.448	0.48	0.5	0.338	0.4	0.494	---	---	---	---	---
3	1.0	0.0	True	0.545	0.455	True	0.0	0.496	0.5	0.0	0.455	0.494	---	---	---	---	---
30	1.0	0.0	True	0.462	0.538	False	0.0	0.497	0.5	0.0	0.462	0.494	---	---	---	---	---
31	0.001	0.999	False	0.4	0.6	False	0.002	0.48	0.5	0.001	0.4	0.494	---	---	---	---	---
32	0.087	0.913	False	0.444	0.556	False	0.159	0.494	0.5	0.087	0.444	0.494	---	---	---	---	---
33	0.0	1.0	False	0.333	0.667	False	0.0	0.444	0.5	0.0	0.333	0.494	---	---	---	---	---
34	0.015	0.986	False	0.4	0.6	False	0.029	0.48	0.5	0.015	0.4	0.494	---	---	---	---	---
35	1.0	0.0	True	0.5	0.5	False	0.0	0.5	0.5	0.0	0.5	0.494	---	---	---	---	---
36	0.999	0.001	True	0.5	0.5	False	0.002	0.5	0.5	0.001	0.5	0.494	---	---	---	---	---
37	1.0	0.0	True	0.385	0.615	False	0.0	0.473	0.5	0.0	0.385	0.494	---	---	---	---	---
38	1.0	0.0	True	0.462	0.538	False	0.0	0.497	0.5	0.0	0.462	0.494	---	---	---	---	---
39	1.0	0.0	True	0.545	0.455	True	0.001	0.496	0.5	0.0	0.455	0.494	---	---	---	---	---
4	1.0	0.0	True	0.364	0.636	False	0.0	0.463	0.5	0.0	0.364	0.494	---	---	---	---	---
5	0.0	1.0	False	0.667	0.333	True	0.0	0.444	0.5	0.0	0.333	0.494	---	---	---	---	---
6	0.017	0.983	False	0.625	0.375	True	0.034	0.469	0.5	0.017	0.375	0.494	---	---	---	---	---
7	0.0	1.0	False	0.333	0.667	False	0.0	0.444	0.5	0.0	0.333	0.494	---	---	---	---	---
8	0.0	1.0	False	0.56	0.44	True	0.0	0.493	0.5	0.0	0.44	0.494	---	---	---	---	---
9	0.0	1.0	False	0.556	0.444	True	0.0	0.494	0.5	0.0	0.444	0.494	---	---	---	---	---
