Object	DS_Pr[D]	DS_Pr[A]	DS_Pr[B]	DS_Pr[C]	DS_Category	MV_Pr[D]	MV_Pr[A]	MV_Pr[B]	MV_Pr[C]	MV_Category	DS_Exp_Cost	MV_Exp_Cost	NoVote_Exp_Cost	DS_Opt_Cost	MV_Opt_Cost	NoVote_Opt_Cost	Correct_Category	Eval_Cost_MV_ML	Eval_Cost_DS_ML	Eval_Cost_MV_Soft	Eval_Cost_DS_Soft
0	0.0	1.0	0.0	0.0	A	0.059	0.706	0.118	0.118	A	0.0	0.471	0.746	0.0	0.294	0.725	---	---	---	---	---
1	0.0	1.0	0.0	0.0	A	0.1	0.56	0.14	0.2	A	0.0	0.617	0.746	0.0	0.44	0.725	---	---	---	---	---
10	0.0	0.0	1.0	0.0	B	0.08	0.16	0.62	0.14	B	0.0	0.564	0.746	0.0	0.38	0.725	---	---	---	---	---
11	0.0	0.0	0.0	1.0	C	0.143	0.071	0.429	0.357	B	0.0	0.663	0.746	0.0	0.571	0.725	---	---	---	---	---
12	0.0	0.0	1.0	0.0	B	0.067	0.133	0.733	0.067	B	0.0	0.436	0.746	0.0	0.267	0.725	---	---	---	---	---
13	0.0	0.0	1.0	0.0	B	0.263	0.053	0.579	0.105	B	0.0	0.582	0.746	0.0	0.421	0.725	---	---	---	---	---
14	0.0	0.0	1.0	0.0	B	0.2	0.2	0.333	0.267	B	0.0	0.738	0.746	0.0	0.667	0.725	---	---	---	---	---
15	0.0	0.0	1.0	0.0	B	0.133	0.133	0.533	0.2	B	0.0	0.64	0.746	0.0	0.467	0.725	---	---	---	---	---
16	0.0	0.0	1.0	0.0	B	0.154	0.308	0.538	0.0	B	0.0	0.592	0.746	0.0	0.462	0.725	---	---	---	---	---
17	0.0	0.0	1.0	0.0	B	0.118	0.294	0.471	0.118	B	0.0	0.664	0.746	0.0	0.529	0.725	---	---	---	---	---
18	0.0	0.0	1.0	0.0	B	0.077	0.154	0.692	0.077	B	0.0	0.485	0.746	0.0	0.308	0.725	---	---	---	---	---
19	0.0	0.0	1.0	0.0	B	0.2	0.133	0.6	0.067	B	0.0	0.578	0.746	0.0	0.4	0.725	---	---	---	---	---
2	0.0	1.0	0.0	0.0	A	0.308	0.385	0.077	0.231	A	0.0	0.698	0.746	0.0	0.615	0.725	---	---	---	---	---
20	0.0	0.0	0.0	1.0	C	0.24	0.22	0.22	0.32	C	0.0	0.743	0.746	0.0	0.68	0.725	---	---	---	---	---
21	1.0	0.0	0.0	0.0	D	0.308	0.231	0.231	0.231	D	0.0	0.746	0.746	0.0	0.692	0.725	---	---	---	---	---
22	0.0	0.0	0.0	1.0	C	0.2	0.2	0.067	0.533	C	0.0	0.631	0.746	0.0	0.467	0.725	---	---	---	---	---
23	0.0	0.0	0.0	1.0	C	0.143	0.143	0.143	0.571	C	0.0	0.612	0.746	0.0	0.429	0.725	---	---	---	---	---
24	0.0	0.0	0.0	1.0	C	0.14	0.06	0.06	0.74	C	0.0	0.426	0.746	0.0	0.26	0.725	---	---	---	---	---
25	0.0	0.0	1.0	0.0	B	0.0	0.091	0.636	0.273	B	0.0	0.512	0.746	0.0	0.364	0.725	---	---	---	---	---
26	0.0	0.0	0.0	1.0	C	0.063	0.188	0.063	0.688	C	0.0	0.484	0.746	0.0	0.313	0.725	---	---	---	---	---
27	0.0	0.0	0.0	1.0	C	0.188	0.188	0.063	0.563	C	0.0	0.609	0.746	0.0	0.438	0.725	---	---	---	---	---
28	0.0	0.0	0.0	1.0	C	0.333	0.067	0.2	0.4	C	0.0	0.684	0.746	0.0	0.6	0.725	---	---	---	---	---
29	0.0	0.0	0.0	1.0	C	0.0	0.182	0.091	0.727	C	0.0	0.43	0.746	0.0	0.273	0.725	---	---	---	---	---
3	0.0	1.0	0.0	0.0	A	0.2	0.46	0.2	0.14	A	0.0	0.689	0.746	0.0	0.54	0.725	---	---	---	---	---
30	1.0	0.0	0.0	0.0	D	0.5	0.143	0.143	0.214	D	0.0	0.663	0.746	0.0	0.5	0.725	---	---	---	---	---
31	0.0	1.0	0.0	0.0	A	0.214	0.357	0.143	0.286	A	0.0	0.724	0.746	0.0	0.643	0.725	---	---	---	---	---
32	1.0	0.0	0.0	0.0	D	0.438	0.188	0.125	0.25	D	0.0	0.695	0.746	0.0	0.563	0.725	---	---	---	---	---
33	1.0	0.0	0.0	0.0	D	0.5	0.143	0.071	0.286	D	0.0	0.643	0.746	0.0	0.5	0.725	---	---	---	---	---
34	0.0	0.0	1.0	0.0	B	0.333	0.267	0.267	0.133	D	0.0	0.729	0.746	0.0	0.667	0.725	---	---	---	---	---
35	0.0	0.0	0.0	1.0	C	0.286	0.143	0.214	0.357	C	0.0	0.724	0.746	0.0	0.643	0.725	---	---	---	---	---
36	1.0	0.0	0.0	0.0	D	0.733	0.133	0.0	0.133	D	0.0	0.427	0.746	0.0	0.267	0.725	---	---	---	---	---
37	1.0	0.0	0.0	0.0	D	0.688	0.188	0.063	0.063	D	0.0	0.484	0.746	0.0	0.313	0.725	---	---	---	---	---
38	1.0	0.0	0.0	0.0	D	0.5	0.125	0.125	0.25	D	0.0	0.656	0.746	0.0	0.5	0.725	---	---	---	---	---
39	1.0	0.0	0.0	0.0	D	0.545	0.0	0.0	0.455	D	0.0	0.496	0.746	0.0	0.455	0.725	---	---	---	---	---
4	0.0	1.0	0.0	0.0	A	0.25	0.583	0.0	0.167	A	0.0	0.569	0.746	0.0	0.417	0.725	---	---	---	---	---
5	0.0	1.0	0.0	0.0	A	0.111	0.556	0.111	0.222	A	0.0	0.617	0.746	0.0	0.444	0.725	---	---	---	---	---
6	0.0	1.0	0.0	0.0	A	0.182	0.545	0.0	0.273	A	0.0	0.595	0.746	0.0	0.455	0.725	---	---	---	---	---
7	0.0	1.0	0.0	0.0	A	0.188	0.5	0.25	0.063	A	0.0	0.648	0.746	0.0	0.5	0.725	---	---	---	---	---
8	0.0	1.0	0.0	0.0	A	0.214	0.5	0.214	0.071	A	0.0	0.653	0.746	0.0	0.5	0.725	---	---	---	---	---
9	0.0	1.0	0.0	0.0	A	0.25	0.438	0.125	0.188	A	0.0	0.695	0.746	0.0	0.563	0.725	---	---	---	---	---
